Date,equity
2022-05-19,1.1318155300165875
2022-05-20,1.131794247676252
2022-05-23,1.1318037122518245
2022-05-24,1.1316451567713175
2022-05-25,1.1317656682407675
2022-05-26,1.13201757701716
2022-05-27,1.131768497545465
2022-05-31,1.1316863585767254
2022-06-01,1.131713866583072
2022-06-02,1.131951493872664
2022-06-03,1.1317245395602307
2022-06-06,1.1328174157672346
2022-06-07,1.1324948878865613
2022-06-08,1.1327136824326538
2022-06-09,1.132822770526419
2022-06-10,1.1326401407078468
2022-06-13,1.1342219383805971
2022-06-14,1.134745728454905
2022-06-15,1.1337584416804907
2022-06-16,1.1338091996479265
2022-06-17,1.133655970787042
2022-06-21,1.134100338757535
2022-06-22,1.1340727558303823
2022-06-23,1.134071904024737
2022-06-24,1.133831139815086
2022-06-27,1.1339311813974118
2022-06-28,1.1340835588904787
2022-06-29,1.1341262867429376
2022-06-30,1.1342270257158362
2022-07-01,1.134129934519035
2022-07-05,1.1341319595454546
2022-07-06,1.134094427486691
2022-07-07,1.1340864660137735
2022-07-08,1.1339772007092412
2022-07-11,1.1338528803115602
2022-07-12,1.133712025449954
2022-07-13,1.1336967404526397
2022-07-14,1.1337460882873165
2022-07-15,1.1336502544552953
2022-07-18,1.1335602587360398
2022-07-19,1.1335394263256904
2022-07-20,1.1335368601698135
2022-07-21,1.1339140327101644
2022-07-22,1.1340822859155315
2022-07-25,1.1339284255089102
2022-07-26,1.1339277102456287
2022-07-27,1.1339309750710826
2022-07-28,1.1342092762609923
2022-07-29,1.1343146881682367
2022-08-01,1.1344423829485264
2022-08-02,1.1343320620601651
2022-08-03,1.1342236764481939
2022-08-04,1.1344840520111932
2022-08-05,1.1345787038976853
2022-08-08,1.1347115695785392
2022-08-09,1.1345852663304108
2022-08-10,1.1347008387931272
2022-08-11,1.134698318829464
2022-08-12,1.1349226805279637
2022-08-15,1.1348031576230166
2022-08-16,1.1349180474515508
2022-08-17,1.1349082249299802
2022-08-18,1.135404863930866
2022-08-19,1.1354009147978499
2022-08-22,1.13554070329693
2022-08-23,1.135318156987093
2022-08-24,1.1357759755840084
2022-08-25,1.135799214588256
2022-08-26,1.135774349921788
2022-08-29,1.1357801306718922
2022-08-30,1.135893717985636
2022-08-31,1.1361460700801524
2022-09-01,1.1364062933477743
2022-09-02,1.1364531657140702
2022-09-06,1.1365767923192824
2022-09-07,1.1363195463360756
2022-09-08,1.1366416398764296
2022-09-09,1.1366221188196417
2022-09-12,1.1365135332358738
2022-09-13,1.1367364479774165
