Date,SHY,IEF,TLT,BIL,TBF
2010-11-08,23539.779306341738,27955.971710035225,25974.67486143244,20872.948200027407,17379.450910692944
2010-11-09,23509.068162121966,27719.781543532376,25401.98112637015,20872.948200027407,17741.607234772768
2010-11-10,23523.038003438127,27823.81293741175,25436.302933141254,20872.941871380786,17729.397088468857
2010-11-11,23486.760382545544,27792.877254956995,25423.084006849876,20868.393684010654,17749.746732183557
2010-11-12,23486.75776549022,27562.321432530476,25285.86253035315,20877.502716044153,17810.784861074957
2010-11-15,23472.808860616646,27208.061309704135,24758.016812425165,20877.50060649528,18201.42312477847
2010-11-16,23483.986303902762,27410.4956656049,25372.960651866506,20877.49427784866,17766.022126254236
2010-11-17,23497.919506444392,27331.7892589773,25233.07245385999,20877.502716044153,17843.333848840866
2010-11-18,23500.717138585078,27267.11254646631,25335.9935307537,20872.94609047853,17790.440618486606
2010-11-19,23486.747297268917,27323.346611190318,25491.700096890272,20872.948200027404,17709.05284588051
2010-11-22,23509.08648150922,27469.540990148733,25599.913331550826,20872.9566382229,17619.53097698997
2010-11-23,23523.04062049344,27525.795747636927,25726.59636501688,20872.939761831916,17509.66126476018
2010-11-24,23481.193905872722,27230.557300481072,25267.386615213924,20877.500606495283,17822.987805877066
2010-11-26,23497.932591721008,27348.644993459573,25618.40147935753,20877.500606495283,17578.84249181327
2010-11-29,23495.13495958032,27407.69918633092,25837.448797685403,20877.502716044157,17432.349542173553
2010-11-30,23511.86841131796,27455.490603267946,25972.03872159133,20877.500606495283,17346.894721425233
2010-12-01,23476.682102495222,27094.45212211684,25394.687398387516,20872.941871380786,17709.05284588051
2010-12-02,23476.676868384577,27026.786783235875,25328.49643467427,20872.939761831916,17757.888029969796
2010-12-03,23507.42203432355,27029.630560256566,25129.873083781196,20877.502716044157,17896.236081072373
2010-12-06,23521.36308803115,27198.722960838917,25484.75041268039,20872.941871380786,17656.156014775344
2010-12-07,23479.479734635905,26747.77441930928,24939.199437664167,20872.946090478534,18030.51708403273
2010-12-08,23443.1654749688,26519.459327632947,24698.19448121667,20872.946090478534,18193.283627367677
2010-12-09,23440.37045988344,26575.847110033752,24820.0471401131,20877.494277848666,18120.03895292327
2010-12-10,23432.01420223591,26350.343278177243,24669.063912705747,20877.50271604416,18209.562622189256
2010-12-13,23445.97095827546,26434.914605396352,24761.763066839725,20877.500606495287,18168.868735886208
2010-12-14,23434.798749099984,26155.872680378063,24401.59969650742,20877.494277848666,18413.019451076354
2010-12-15,23426.429406175845,26048.778757399486,24083.79652456145,20872.941871380794,18644.961820338038
2010-12-16,23432.00896812527,26203.782341681857,24250.64093443502,20872.946090478537,18531.02866071693
2010-12-17,23451.5400520036,26429.277305210857,24692.917614284168,20877.494277848673,18185.144129956883
2010-12-20,23457.158869782877,26426.46013317269,24666.429301948087,20877.494277848673,18185.145930332335
2010-12-21,23451.560988446185,26482.815398372637,24838.562811421638,20877.502716044164,18079.350467746568
2010-12-22,23445.973575330787,26409.539364288696,24661.11879518002,20872.946090478545,18189.214778850004
2010-12-23,23415.249345834396,26316.528345391773,24610.811950184507,20872.939761831924,18242.118811456963
2010-12-27,23429.219187150553,26418.014529276545,24830.611577562166,20872.946090478545,18067.142121818106
2010-12-28,23397.919205483024,26140.47726382533,24344.306469299623,20877.500606495298,18417.088299594023
2010-12-29,23453.788102526367,26434.382505745914,24756.20790672215,20872.94609047855,18111.903056263378
2010-12-30,23445.42661076819,26380.69069490734,24737.606606741287,20877.502716044175,18107.832407370257
2010-12-31,23473.38461278777,26513.520504312204,25011.307954269,20872.9503095763,18006.107593677607
2011-01-03,23467.78673145108,26431.56533370775,24822.646581951787,20877.5006064953,18026.448235515054
2011-01-04,23462.183616003746,26493.732309534167,24851.868895468782,20877.49427784868,18022.381187372837
2011-01-05,23420.26885794462,26208.308144819763,24304.447851412144,20877.502716044175,18413.01585032545
2011-01-06,23445.42399371287,26343.958082371955,24410.76196444704,20877.5006064953,18335.709528865173
2011-01-07,23478.97987706914,26519.16962893437,24540.96341889591,20872.941871380805,18246.184059223735
2011-01-10,23490.14685213397,26609.602920635833,24673.808658603055,20877.5006064953,18140.390397013416
2011-01-11,23476.163925541194,26505.042383215186,24535.643737627233,20877.502716044175,18233.975713295276
2011-01-12,23476.18224492846,26428.74520556042,24344.317172883664,20872.93976183193,18356.051971078075
2011-01-13,23484.546353741953,26606.768011942662,24562.217678635658,20872.948200027426,18221.767367366818
2011-01-14,23484.543736686628,26533.29096243522,24405.4392250115,20872.95663822292,18323.49578181037
2011-01-18,23478.961557681876,26468.28612180646,24291.16623269996,20872.946090478552,18396.745857381127
2011-01-19,23490.128532746705,26536.134739455912,24466.55668988903,20877.494277848684,18270.598950705207
2011-01-20,23464.989099310398,26329.81309999777,24129.074214140863,20877.50271604418,18518.816714037574
2011-01-21,23470.58174653644,26417.44104409774,24320.408424301604,20872.94187138081,18384.537511452665
2011-01-24,23467.797199672375,26420.267084463412,24331.020263337134,20872.939761831938,18372.332766275107
2011-01-25,23484.562056073897,26553.061420558242,24562.21003321849,20877.500606495305,18197.354276260798
2011-01-26,23478.94323829462,26391.994856370027,24190.194737185262,20872.939761831938,18449.64268848628
2011-01-27,23495.73949936002,26490.91809360518,24299.137344644085,20877.500606495305,18380.468662934996
2011-01-28,23506.916942646145,26612.426004892346,24426.698072001553,20872.946090478556,18286.874344775886
2011-01-31,23504.132395782075,26507.874335799206,24240.67283952544,20872.946090478556,18413.01585032545
2011-02-01,23478.388422566066,26384.598671228912,24120.662726167604,20872.94187138081,18494.40722368245
2011-02-02,23464.41334713926,26322.286846053208,24126.01298910497,20872.939761831938,18498.47427182467
2011-02-03,23442.02967295846,26172.140149135692,23926.001230453356,20872.94820002743,18649.034269606607
2011-02-04,23422.427928586403,26010.65677355463,23683.335689395975,20877.500606495305,18840.284552940695
2011-02-07,23411.25048530028,25999.31713878192,23806.000291596127,20872.95663822292,18758.902181460948
2011-02-08,23380.49223408469,25820.850916024312,23587.323011459404,20872.9503095763,18921.666924420442
2011-02-09,23397.267558707503,25968.18339701283,23792.665154963735,20877.502716044175,18767.043479247186
2011-02-10,23386.079647200087,25883.150916763334,23517.99283945511,20872.9503095763,18966.429659241163
2011-02-11,23386.071796034117,26002.140223038412,23856.67105844906,20872.946090478552,18701.932901087213
2011-02-14,23386.071796034117,26010.650861336286,23872.66527117408,20872.946090478552,18661.242615535066
2011-02-15,23397.26232459686,26070.142558364652,23979.338718816085,20877.494277848684,18608.340383303555
2011-02-16,23394.47516067747,26033.336043100044,23901.993091448057,20877.50271604418,18657.170166266493
2011-02-17,23422.427928586403,26129.6460798297,23939.3424834195,20877.500606495305,18632.757075160473
2011-02-18,23430.828676174424,26123.98513077085,23864.65746122753,20872.94820002743,18669.376711819503
2011-02-22,23455.996897219287,26376.11463791355,24222.008847123765,20872.939761831938,18400.812905523337
2011-02-23,23450.412101159214,26310.96199182633,24310.013715113786,20877.494277848684,18319.426933292692
2011-02-24,23461.6078638326,26378.97615158925,24464.67285909771,20877.5006064953,18205.49377367158
2011-02-25,23467.190042837352,26463.95246576453,24608.701815044897,20877.502716044175,18103.76355885258
2011-02-28,23475.577705148764,26452.60396266431,24640.69024049493,20872.941871380805,18071.21097033577
2011-03-01,23489.864210159052,26482.72967120673,24712.12748947199,20872.946090478552,18022.381187372834
2011-03-02,23478.665830430346,26343.5708320708,24332.19918666515,20877.494277848684,18290.944993669
2011-03-03,23431.064211153534,26164.675973483674,24094.111721410707,20872.948200027426,18469.990531825526
2011-03-04,23484.26632882236,26352.09625091452,24294.75652060421,20877.5006064953,18323.49758218581
2011-03-07,23467.46745070163,26286.795799368847,24139.58513366972,20872.946090478552,18433.365494040147
2011-03-08,23459.06146900296,26224.306607642997,23992.47354551856,20872.93976183193,18547.304054787604
2011-03-09,23475.87604945563,26377.642946353986,24225.216864169375,20872.946090478552,18368.25851663108
2011-03-10,23501.049504611143,26601.99685174371,24631.847550993134,20872.93976183193,18063.069672549533
2011-03-11,23503.85237086247,26539.5135722362,24492.739185538216,20877.502716044175,18156.663990708643
2011-03-14,23517.864085063804,26599.161943050534,24482.047834164096,20877.502716044175,18177.013634423343
